minute,Y,d,maximise,multiple_of_5,last_digit_3,last_digit_7,seconds_remaining,is_critical
58,11.63,0,1,False,False,False,52,0
59,3.67,0,0,False,False,False,43,0
59,7.15,0,0,False,False,False,17,0
0,1.0,0,0,True,False,False,20,0
0,5.22,1,1,True,False,False,6,0
1,1.65,0,0,False,False,False,31,0
1,4.45,1,1,False,False,False,5,0
2,1.78,0,0,False,False,False,32,0
2,1.73,0,1,False,False,False,12,0
3,7.98,0,1,False,True,False,46,0
4,3.24,0,0,False,False,False,49,0
4,2.59,0,0,False,False,False,15,0
5,11.73,0,0,True,False,False,48,1
6,1.2,0,0,False,False,False,59,0
6,1.0,0,1,False,False,False,43,0
6,1.51,0,1,False,False,False,27,0
6,3.06,1,1,False,False,False,5,0
7,3.71,0,0,False,False,True,35,0
7,2.0,1,0,False,False,True,4,0
8,1.93,0,0,False,False,False,25,0
10,61.13,0,1,True,False,False,57,1
10,2.46,0,0,True,False,False,47,0
10,1.54,0,0,True,False,False,20,0
11,29.07,0,1,False,False,False,58,0
12,5.07,0,0,False,False,False,60,0
12,12.31,0,0,False,False,False,17,1
13,4.16,0,0,False,True,False,28,0
14,1.06,0,0,False,False,False,55,0
14,1.52,0,1,False,False,False,36,0
14,2.52,0,1,False,False,False,13,0
15,2.0,0,0,True,False,False,37,0
15,1.09,0,0,True,False,False,11,0
16,2.08,0,1,False,False,False,46,0
16,7.69,0,0,False,False,False,19,0
17,3.81,0,0,False,False,True,37,0
17,3.39,1,0,False,False,True,7,0
18,1.65,0,0,False,False,False,28,0
18,6.84,1,1,False,False,False,4,0
19,10.16,1,0,False,False,False,7,1
20,1.61,0,0,True,False,False,20,0
21,2.14,0,1,False,False,False,57,0
21,4.09,0,0,False,False,False,32,0
22,6.95,0,0,False,False,False,50,0
22,2.45,1,0,False,False,False,4,0
23,1.19,0,0,False,True,False,33,0
23,1.35,1,1,False,True,False,6,0
24,14.2,0,1,False,False,False,49,0
25,3.8,0,0,True,False,False,59,0
25,1.74,0,0,True,False,False,21,0
26,4.41,0,1,False,False,False,30,0
26,3.7,0,0,False,False,False,21,0
27,3.57,0,0,False,False,True,47,0
27,1.1,0,0,False,False,True,11,0
28,1.41,0,1,False,False,False,48,0
28,1.89,0,1,False,False,False,25,0
28,3.05,1,1,False,False,False,1,0
29,2.12,0,0,False,False,False,25,0
30,1.3,0,0,True,False,False,59,0
30,1.0,0,1,True,False,False,30,0
30,238.03,0,1,True,False,False,10,1
32,1.31,0,0,False,False,False,38,0
32,1.39,0,1,False,False,False,26,0
32,6.86,1,1,False,False,False,4,0
33,1.8,0,0,False,True,False,18,0
34,1.14,0,1,False,False,False,48,0
34,1.03,0,1,False,False,False,28,0
34,1.41,0,1,False,False,False,10,0
35,38.65,0,1,True,False,False,49,1
36,1.47,0,0,False,False,False,42,0
36,1.61,0,1,False,False,False,18,0
37,4.39,0,1,False,False,True,51,0
37,1.12,0,0,False,False,True,14,0
38,1.66,0,1,False,False,False,53,0
38,2.49,0,1,False,False,False,27,0
39,2.95,0,0,False,False,False,59,0
39,3.28,0,0,False,False,False,28,0
40,1.15,0,0,True,False,False,55,0
40,4.68,0,1,True,False,False,37,0
41,1.02,0,0,False,False,False,59,0
41,1.81,0,1,False,False,False,41,0
41,1.41,0,1,False,False,False,14,0
42,1.65,0,1,False,False,False,51,0
42,6.71,0,1,False,False,False,17,0
44,3.8,0,0,False,False,False,39,0
44,2.32,0,0,False,False,False,16,0
45,1.42,0,0,True,False,False,46,0
45,21.28,0,1,True,False,False,21,1
46,1.03,0,0,False,False,False,23,0
46,1.19,0,1,False,False,False,10,0
47,1.61,0,1,False,False,True,52,0
47,2.61,0,1,False,False,True,17,0
48,1.99,0,0,False,False,False,52,0
48,3.66,0,1,False,False,False,25,0
49,3.49,0,0,False,False,False,52,0
49,1.32,0,0,False,False,False,27,0
49,2.04,1,1,False,False,False,7,0
50,1.44,0,0,True,False,False,36,0
50,1.26,0,1,True,False,False,12,0
51,1.03,0,1,False,False,False,52,0
51,3.27,0,1,False,False,False,39,0
51,4.2,1,0,False,False,False,9,0
52,1.2,0,0,False,False,False,33,0
52,1.81,0,1,False,False,False,22,0
52,1.0,1,1,False,False,False,1,0
53,3.88,0,1,False,True,False,47,0
53,1.37,0,0,False,True,False,17,0
54,1.08,0,1,False,False,False,60,0
54,5.85,0,1,False,False,False,43,0
54,1.54,1,0,False,False,False,5,0
55,1.01,0,1,True,False,False,45,0
55,2.24,0,1,True,False,False,18,0
56,1.1,0,0,False,False,False,53,0
56,1.03,0,1,False,False,False,35,0
27,1.31,0,1,False,False,True,48,0
27,6.69,0,1,False,False,True,42,0
27,1.01,1,0,False,False,True,3,0
28,1.62,0,1,False,False,False,49,0
28,1.24,0,1,False,False,False,22,0
28,4.51,1,1,False,False,False,4,0
29,1.38,0,0,False,False,False,27,0
29,1.17,0,1,False,False,False,13,0
30,1.07,0,1,True,False,False,55,0
30,1.58,0,1,True,False,False,35,0
30,1.05,0,1,True,False,False,11,0
31,21.87,0,1,False,False,False,57,0
31,1.89,1,0,False,False,False,4,0
32,1.11,0,1,False,False,False,44,0
32,151.56,0,1,False,False,False,30,1
33,1.26,1,0,False,True,False,7,0
34,2.26,0,1,False,False,False,52,0
34,1.0,0,0,False,False,False,23,0
34,1.06,0,1,False,False,False,10,0
35,1.34,0,1,True,False,False,55,0
35,1.17,0,1,True,False,False,38,0
35,1.22,0,1,True,False,False,24,0
35,1.64,1,1,True,False,False,8,0
36,7.18,0,1,False,False,False,36,0
37,31.4,0,0,False,False,True,55,1
38,1.29,0,0,False,False,False,55,0
38,1.2,0,1,False,False,False,44,0
38,1.08,0,1,False,False,False,27,0
38,1.52,1,1,False,False,False,9,0
39,2.6,0,1,False,False,False,48,0
39,2.81,0,0,False,False,False,15,0
40,1.6,0,0,True,False,False,43,0
40,1.5,1,1,True,False,False,9,0
41,4.59,0,1,False,False,False,53,0
41,1.27,0,0,False,False,False,14,0
42,1.3,0,1,False,False,False,56,0
42,2.13,0,1,False,False,False,39,0
42,1.02,0,0,False,False,False,16,0
43,1.21,0,1,False,True,False,60,0
43,1.08,0,1,False,True,False,44,0
43,1.99,0,1,False,True,False,30,0
43,1.41,0,1,False,True,False,10,0
44,1.83,0,1,False,False,False,52,0
44,1.06,0,1,False,False,False,20,0
44,1.94,1,1,False,False,False,7,0
45,2.81,0,1,True,False,False,43,0
45,1.75,1,0,True,False,False,9,0
46,1.64,0,1,False,False,False,24,0
47,15.64,0,1,False,False,True,53,1
47,1.45,1,0,False,False,True,1,0
48,2.58,0,1,False,False,False,48,0
48,1.34,0,0,False,False,False,23,0
48,2.0,1,1,False,False,False,5,0
49,4.18,0,0,False,False,False,44,0
49,3.02,1,0,False,False,False,7,0
50,1.26,0,0,True,False,False,42,0
50,3.3,0,1,True,False,False,15,0
51,1.0,0,0,False,False,False,55,0
51,1.84,0,1,False,False,False,28,0
52,38.61,0,1,False,False,False,57,1
55,12.4,0,0,True,False,False,36,1
55,1.13,0,0,True,False,False,32,0
55,2.18,0,1,True,False,False,22,0
56,1.7,0,0,False,False,False,58,0
56,1.37,0,1,False,False,False,36,0
56,1.3,0,1,False,False,False,20,0
56,2.45,1,1,False,False,False,2,0
57,1.34,0,0,False,False,True,32,0
57,1.09,0,1,False,False,True,20,0
57,5.89,1,1,False,False,True,4,0
58,1.68,0,0,False,False,False,28,0
58,1.11,0,1,False,False,False,10,0
59,9.01,0,1,False,False,False,56,0
59,1.26,0,0,False,False,False,15,0
59,5.08,1,1,False,False,False,1,0
0,1.63,0,0,True,False,False,26,0
0,1.46,1,1,True,False,False,3,0
